English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
Dad bought a dress,আব্বু লাল জামা কিনে এনেছে,Abbu lal jama kine eneche,আব্বু লাল জামা কিনি আইন্ন্যে,Abbu lal jama kini ainne,আব্বায় লাল জামা কিনিয়া আনছইন,Abbay lal zama kiniya ansoin
Dad bought,আব্বু জামা কিনে এনেছে,Abbu jama kine eneche,আব্বু জামা কিনি আইন্ন্যে,Abbu jama kini ainne,আব্বায় জামা কিনিয়া আনছইন,Abbay zama kiniya ansoin
Dad bought me a green dress,আব্বু কিনে এনেছে,Abbu kine eneche,আব্বু কিনি আইন্ন্যে,Abbu kini ainne,আব্বায় কিনিয়া আনছইন,Abbay kiniya ansoin
Dad bought me a black dress,আব্বু আমার জন্য সবুজ  জামা কিনে এনেছে,Abbu amar jonno shobuj jama kine eneche,আব্বু আর লাই সবুজ  জামা কিনি আইন্ন্যে,Abbu ar lai sobuj jama kini ainne,আব্বায় মোর লাগি সবুজ  জামা কিনিয়া আনছইন,Abbay mor lagi shobuz zama kiniya ansoin
Dad bought me a white dress,আব্বু আমার জন্য কালো   জামা কিনে এনেছে,Abbu amar jonno kalo jama kine eneche,আব্বু আর লাই কালো  জামা কিনি আইন্ন্যে,Abbu ar lai kalo jama kini ainne,আব্বায় মোর লাগি কালো জামা কিনিয়া আনছইন,Abbay mor lagi kalo zama kiniya ansoin
Dad bought me a blue dress,আব্বু আমার জন্য সাদা জামা কিনে এনেছে,Abbu amar jonno shada jama kine eneche,আব্বু আর লাই সাদা জামা কিনি আইন্ন্যে,Abbu ar lai sada jama kini ainne,আব্বায় মোর লাগি সাদাজামা কিনিয়া আনছইন ,Abbay mor lagi shada zama kiniya ansoin
Dad bought me a purple dress,আব্বু আমার জন্য নীল জামা কিনে এনেছে,Abbu amar jonno nil jama kine eneche,আব্বু আর লাই নীল জামা কিনি আইন্ন্যে,Abbu ar lai nil jama kini ainne,আব্বায় মোর লাগি নীল জামা কিনিয়া আনছইন,Abbay mor lagi nil zama kiniya ansoin
Dad bought me a pink dress,আব্বু আমার জন্য বেগুনি জামা কিনে এনেছে,Abbu amar jonno beguni jama kine eneche,আব্বু আর লাই বেগুনি জামা কিনি আইন্ন্যে,Abbu ar lai beguni jama kini ainne,আব্বায় মোর লাগি বেগুনি জামা কিনিয়া আনছইন,Abbay mor lagi beguni zama kiniya ansoin
Dad bought me a sky blue dress,আব্বু আমার জন্য গোলাপি  জামা কিনে এনেছে,Abbu amar jonno golapi jama kine eneche,আব্বু আর লাই গোলাপি জামা কিনি আইন্ন্যে,Abbu ar lai gulapi jama kini ainne,আব্বায় মোর লাগি গোলাপি জামা কিনিয়া আনছইন,Abbay mor lagi gulapi zama kiniya ansoin
Dad bought me a maroon dress,আব্বু আমার জন্য আকাশী জামা কিনে এনেছে,Abbu amar jonno akashi jama kine eneche,আব্বু আর লাই আকাশী জামা কিনি আইন্ন্যে,Abbu ar lai akashi jama kini ainne,আব্বায় মোর লাগি আকাশী জামা কিনিয়া আনছইন,Abbay mor lagi akashi zama kiniya ansoin
Dad bought me an orange dress,আব্বু আমার জন্য মেরুন জামা কিনে এনেছে,Abbu amar jonno merun jama kine eneche,আব্বু আর লাই মেরুন জামা কিনি আইন্ন্যে,Abbu ar lai merun jama kini ainne,আব্বায় মোর লাগি মেরুন জামা কিনিয়া আনছইন,Abbay mor lagi merun zama kiniya ansoin
Dad bought me a brown dress,আব্বু আমার জন্য কমলাজামা কিনে এনেছে,Abbu amar jonno komola jama kine eneche,আব্বু আর লাই কমলাজামা কিনি আইন্ন্যে,Abbu ar lai komola jama kini ainne,আব্বায় মোর লাগি কমলাজামা কিনিয়া আনছইন,Abbay mor lagi komola zama kiniya ansoin
My friend bought me a red saree,আব্বু আমার জন্য খয়েরি জামা কিনে এনেছে,Abbu amar jonno khoyeri jama kine eneche,আব্বু আর লাই খয়েরি জামা কিনি আইন্ন্যে,Abbu ar lai khoyeri jama kini ainne,আব্বায় মোর লাগি খয়েরি জামা কিনিয়া আনছইন,Abbay mor lagi khoyeri zama kiniya ansoin
Friend bought me a red saree,আমার বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,Amar bondhu amake lal shari kine diyeche,আর বন্ধু আরে এক্কান লাল শাড়ি কিনি দিয়িএ,Ar bondhu are ekkan lal shari kini diye,মোর বন্ধু মোর লাগি লাল শাড়ি কিনিয়া দিছে,Mor bondhu mor lagi lal shari kiniya dise
Bought me a red saree,বন্ধু আমাকে লাল শাড়ি কিনে দিয়েছে,Bondhu amake lal shari kine diyeche,বন্ধু আরে এক্কান লাল শাড়ি কিনি দিয়িএ,Bondhu are ekkan lal shari kini diye,বন্ধু মোর লাগি লাল শাড়ি কিনিয়া দিছে,Bondhu mor lagi lal shari kiniya dise
Red saree bought,আমাকে লাল শাড়ি কিনে দিয়েছে,Amake lal shari kine diyeche,আরে এক্কান লাল শাড়ি কিনি দিয়িএ,Are ekkan lal shari kini diye,মোর লাগি লাল শাড়ি কিনিয়া দিছে,Mor lagi lal shari kiniya dise
Bought saree,লাল শাড়ি কিনে দিয়েছে,Lal shari kine diyeche,লাল শাড়ি কিনি দিয়িএ,Lal shari kini diye,লাল শাড়ি কিনিয়া দিছে,Lal shari kiniya dise
Bought,শাড়ি কিনে দিয়েছে,Shari kine diyeche,শাড়ি কিনি দিয়িএ,Shari kini diye,শাড়ি কিনিয়া দিছে,Shari kiniya dise
My friend bought me a red rose,কিনে দিয়েছে,Kine diyeche,কিনি দিয়িএ,Kini diye,কিনিয়া দিছে,Kiniya dise
Friend bought me a red rose,আমার বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,Amar bondhu amake ekti lal golap kine diyeche,আর বন্ধু আরে ওগগা লাল গোলাপ কিনি দিয়িএ,Ar bondhu are ogga lal gulap kini diye,মোর বন্ধু মোর লাগি এখটা লাল গোলাপ কিনিয়া দিছে,Mor bondhu mor lagi ekhta lal gulap kiniya dise
Bought me a red rose,বন্ধু আমাকে একটি লাল গোলাপ কিনে দিয়েছে,Bondhu amake ekti lal golap kine diyeche,বন্ধু আরে ওগগা লাল গোলাপ কিনি দিয়িএ,Bondhu are ogga lal gulap kini diye,বন্ধু মোর লাগি এখটা লাল গোলাপ কিনিয়া দিছে,Bondhu mor lagi ekhta lal gulap kiniya dise
A red rose bought,আমাকে একটি লাল গোলাপ কিনে দিয়েছে,Amake ekti lal golap kine diyeche,আরে ওগগা লাল গোলাপ কিনি দিয়িএ,Are ogga lal gulap kini diye,মোর লাগি এখটা লাল গোলাপ কিনিয়া দিছে,Mor lagi ekhta lal gulap kiniya dise
Red rose bought,একটি লাল গোলাপ কিনে দিয়েছে,Ekti lal golap kine diyeche,ওগগা লাল গোলাপ কিনি দিয়িএ,Ogga lal gulap kini diye,এখটা লাল গোলাপ কিনিয়া দিছে,Ekhta lal gulap kiniya dise
Rose bought,লাল গোলাপ কিনে দিয়েছে,Lal golap kine diyeche,লাল গোলাপ কিনি দিয়িএ,Lal gulap kini diye,লাল গোলাপ কিনিয়া দিছে,Lal gulap kiniya dise
We will never forget,গোলাপ কিনে দিয়েছে,Golap kine diyeche,গোলাপ কিনি দিয়িএ,Gulap kini diye,গোলাপ কিনিয়া দিছে,Gulap kiniya dise
Never forget,আমরা জীবনেও ভুলতে পারব না,Amra jiboneo bhulte parbo na,আরা জীবনত ন বুইল্লাম,Ara jibonot no buillam,আমরা জীবনেও ভুলতাম ফারতাম নায়,Amra zibone-o bultam fartam nay
Won’t forget,জীবনেও ভুলতে পারব না,Jiboneo bhulte parbo na,জীবনত ন বুইল্লাম,Jibonot no buillam,জীবনেও ভুলতাম ফারতাম নায়,Zibone-o bultam fartam nay
We won’t forget,ভুলতে পারব না,Bhulte parbo na,ন বুইল্লাম,No buillam,ভুলতাম ফারতাম নায়,Bultam fartam nay
We will never be able to,আমরা ভুলতে পারব না,Amra bhulte parbo na,আরা ন বুইল্লাম,Ara no buillam,আমরা ভুলতাম ফারতাম নায়,Amra bultam fartam nay
We won’t be able to,আমরা জীবনেও পারব না,Amra jiboneo parbo na,আরা ন বুইল্লাম,Ara no buillam,আমরা জীবনেও ফারতাম নায়,Amra zibone-o fartam nay
